Neighbourhood Name,Neighbourhood Number,Descriptive Name,Description,Civic Ward,Planning District
ARGYLL,6010,Argyll,"At the turn of the 20th Century, Argyll was part of a half-section 
of land owned by J. Eamer.
Annexed in 1913, development of the area did not substantially begin 
until the 1950s. Argyll is
located between two branches of the Mill Creek Ravine and is close to 
outdoor recreation areas.
A high proportion of Argyll residents are over 50 and live in single-family dwellings on tree-lined
streets.",papastew,Scona
ARMSTRONG INDUSTRIAL,4030,Armstrong Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
ASPEN GARDENS,5020,Aspen Gardens,"Built in the 1960s and 1970s, Aspen Gardens was designed to appeal to individuals and families in
search of quiet, affluent residential neighbourhood characterised by larger homes, mature
trees, and attractive paths for pedestrian and bicycle travel. Commercial services are available in
nearby Westbrook and Petrolia, as well as the Southgate and Heritage Malls. The residents are a
largely stable population of older couples and families with older children.",papastew,Whitemud
ASTER,6445,Aster,,Sspomitapi,Mill Woods and Meadows
ATHLONE,3010,Athlone,"Named in honour of the Earl of Athlone, Canada's Governor-General from 1940-46, Athlone is
located north of the Canadian National Rail line. The rail line explains the presence of a grain
terminal and some other commercial enterprises. Developed in the 1950s in a grid pattern typical
of that period, Athlone housing is primarily multi-family dwellings. A community league and three
schools serve area families.",Anirniq,Northwest
AVONMORE,6020,Avonmore,"Avonmore was developed during the 1950s and features primarily single family homes. Avonmore
is bounded by major roadways and Mill Creek Ravine. The area offers easy access to the North
Saskatchewan River Valley park system and to nearby Bonnie Doon mall. A high proportion of
area residents are over the age of 50.",Métis,Southeast
BALWIN,2020,Balwin,"Previously part of North Edmonton, Balwin was annexed in 1912 and developed primarily in the
1940s and 50s. Most homes in the area are single-family dwellings, which are served by excellent
school and park facilities as well as Londonderry Mall, one of the city's largest. Commercial land
fringes the neighbourhood.",tastawiyiniwak,Northeast
BANNERMAN,2030,Bannerman,"Named for H. Bannerman, who settled in the Belmont area in 1883, this area is part of the
Clareview district and was annexed to the City, along with much of northeast Edmonton, in the
early 1960s. Easy LIGHT RAPID TRANSIT access to Edmonton's commercial and employment areas, as well as
excellent recreation and educational facilities in the heart of the neighbourhood, make Bannerman
popular with young families.",Dene,Northeast
BARANOW,3020,Baranow,"Baranow takes its name from a famous castle The Baranow Castle, built between 1591 and 1606, is located in Poland and was formerly the residence of Prince Lubomirski.  Baranow is almost entirely non-residential in character.  Approximately 70% of all residential units are low rise apartment buildings and all residential zoning within the neighbourhood is multifamily.  A large shopping Centre is located in the neighbourhood.  The neighbourhood does not contain any institutional or recreational land uses but residents can access facilities and amenities in the adjacent Carlisle and Caernarvon neighbourhoods.",Anirniq,Northwest
BATURYN,3030,Baturyn,"Baturyn is predominantly a low density residential neighbourhood.  A large school and park site is located at the centre of the community, which contains both a Public and Catholic elementary school.  As one of the neighbourhoods in the Castle Downs neighhourhood, Baturyn is named for a castle.  Baturyn was a famous castle in northeast Ukraine.",tastawiyiniwak,Northwest
BEACON HEIGHTS,2040,Beacon Heights,Beacon Heights was one neighbourhood that made up the area called Beverly. After 1910 rich coal seams were discovered and coal mining spurred development. In 1913 the area was incorporated as the Village of Beverly and in 1914 became a town. In 1961 Beverly amalgamated with the City of Edmonton to later be divided into neighbourhoods including Beacon Heights.  The character of Beacon Heights comes from the combination of low and high density housing and the easy access to commercial routes and services.,Métis,118 Avenue
BEARSPAW,5030,Bearspaw,"Named for Stony Indian Chief Masgwaahisd (Bearspaw), this neighbourhood is located in the
southern part of Kaskitayo. Area homes were built mostly in the 1980s and are centred on
attractive recreation sites, including Bearspaw Lake and Blackmud Creek Ravine. Though strictly
residential, the area offers easy access to commercial centres. The majority of households have
children.",Ipiihkoohkanipiaohtsi,Whitemud
BEAUMARIS,3040,Beaumaris,"Part of the Castle Downs and Lake District Area, Beaumaris was named for a Welsh castle, and
the neighbourhood's appealing architectural features reflect the castle theme. Developed in the
1980s, Beaumaris features a mall and a beautiful park with excellent recreational opportunities. 
The mostly single-family residences are home to an even mix of families and households without
children.",tastawiyiniwak,Northwest
BELGRAVIA,5040,Belgravia,"Once the southwest terminus for the Edmonton Radial Railway, Belgravia is a mature, quiet
neighbourhood. Named after a fashionable residential section of 19th century London, Belgravia
is an attractive area with tree-lined streets that offers easy access to the river valley and the University
of Alberta campus. Belgravia is home to a high proportion of long-term residents.",papastew,Scona
BELLE RIVE,2050,Belle Rive,,tastawiyiniwak,Northwest
BELLEVUE,2060,Bellevue,"One of the City's smaller neighbourhoods, Bellevue was developed prior to 1950. Eastglen
Composite High School, which serves students in much of east central Edmonton, is a dominant
feature of the area (though a high proportion of area residents are over the age of 60 or retirees). Bellevue is highlighted by stunning views of the river valley and the city skyline.",Métis,118 Avenue
BELMEAD,4040,Belmead,"Like many newer neighbourhoods, Belmead was designed to address modern concerns about
efficient land use and energy conservation. The area is a mix of single and multi-unit structures
close to public transportation routes, shopping facilities, and schools. Belmead is popular with
young families.",Nakota Isga,West Edmonton
BELMONT,2070,Belmont,"Part of the Clareview district, Belmont traces its early development to 1912, though the bulk of
its development took place in the 1970s. A mixture of single-family units and condominiums, the
area's excellent LIGHT RAPID TRANSIT service and efficient thoroughfares reflect efforts to maintain a quiet, family-friendly environment. Access to the river valley through Kennedale Ravine is a popular feature of
the area, and attractive paths through the area encourage pedestrian and bicycle travel.",Dene,Northeast
BELVEDERE,2080,Belvedere,"Once part of the village of North Edmonton, Belvedere contains the Fort Road, which first
thrived at a time when the trek between Fort Saskatchewan and Edmonton was made by wagon. 
Until as late as 1964, Belvedere was considered the outskirts of northeastern Edmonton. Today
the area contains a variety of housing styles, as well as the commercial and other non-residential
land uses concentrated along the Fort Road.",Dene,Northeast
BERGMAN,2090,Bergman,"Bergman was one neighbourhood that made up the area called Beverly. After 1910 rich coal seams were discovered and coal mining spurred development. In 1913 the area was incorporated as the Village of Beverly and in 1914 became a town. In 1961 Beverly amalgamated with the City of Edmonton to later be divided into neighbourhoods including Bergman.  Character of Bergman is created from two distinct periods of construction; one very grid like, and the other curvilinear with cul de sac street patterns creating a very unique neighbourhood.",Métis,118 Avenue
BEVERLY HEIGHTS,2100,Beverly Heights,"Beverly Heights is name from the Town of Beverly in Yorkshire England.  Beginnning as a small mining community in 1882 the village was incorporated as a town in 1914 and was amalgamated in 1961 with the City of Edmonton. In 1953 the Beverly Bridge opened linking main street (118 Avenue) with Highway 16.  The northern portion of the former Town of Beverly contains the neighbourhoods of Beacon Heights and Bergman, the southern portion is know as Beverly Heights. The mature tree lined streets provide character to the neighbourhood.",Métis,118 Avenue
BISSET,6030,Bisset,"Bisset is named for Judge Athelstan Bisset, Q.C. Like all of the 27 neighbourhoods of Mill Woods, Bisset's design objective is to provide for an efficient flow of traffic while minimizing its disruptive and hazardous effects. A number of strategically place pathways promote pedestrian and bicycle travel within the neighbourhood. Perhaps because of the large number of apartment dwellings, the demographic profile of Bisset is different form that of a typical Mill Woods neighbourhood: Bisset hosts a comparatively high proportion of single-adult households.",Sspomitapi,Mill Woods and Meadows
BLACKBURNE,5590,Blackburne,"The neighbourhood name ""Blackburne"" was derived from Blackmud Creek, which runs across the southern edge of the community, and in reference to ""burne"" which is an old English word for stream or river.  The Blackburn area was annexed to the City of Edmonton on January 1, 1982.  The Blackburne neighbourhood was developed from the 1990s onwards.   Most of the land within Blackburne is designated for residential purposes, with single-detached housing being the dominant housing form.",Ipiihkoohkanipiaohtsi,Southwest
BLACKMUD CREEK,5453,Blackmud Creek,Blackmud Creek,Ipiihkoohkanipiaohtsi,Southwest
BLACKMUD CREEK RAVINE,5050,Blackmud Creek Ravine,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Ipiihkoohkanipiaohtsi,Whitemud
BLATCHFORD AREA,1111,Blatchford Area,This non-residential neighbourhood is home to Edmonton's Municipal Airport.,O-day'min,118 Avenue
BLUE QUILL,5060,Blue Quill,"Blue Quill is named in honour of Cree Chief Blue Quill of the Saddle Lake Indian Reserve which was established in 1889. In the late 1890s, Chief Blue Quill traded in Edmonton.  Blue Quill was annexed by Edmonton in 1971.  Development began shortly after annexation, with the bulk of housing construction taking place between 1971 and 1980.  A commercial centre is located in the northern part of the community along Saddleback Road, and school and park sites are located towards the interior of the neighbourhood.",Ipiihkoohkanipiaohtsi,Whitemud
BLUE QUILL ESTATES,5070,Blue Quill Estates,"Named to honour Chief Blue Quill of the Saddle Lake Band who traded with merchants of Fort Edmonton in the late 1890s, Blue Quill includes a variety of housing from apartments and row houses to spacious single-unit houses on large lots overlooking the Whitemud Creek Ravine. The focus of the neighbourhood is a centrally located multiple purpose recreational site. Whitemud Creek and  Blackmud Creek ravines offer opportunities for all season outdoor recreation in a natural setting.",Ipiihkoohkanipiaohtsi,Whitemud
BONAVENTURE INDUSTRIAL,4050,Bonaventure Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
BONNIE DOON,6040,Bonnie Doon,"At the turn of the 20th century, the cities of Edmonton and Strathcona were engaged in an
 intense rivalry to attract growth. This competition and a nation wide land boom led both cities on a path of rapid subdivision and expansion. The portion of Bonnie Doon that lies west of 91 Street was annexed by Strathcona in 1907 and was later absorbed by Edmonton through the amalgamation of the two cities in 1912. In 1913, Edmonton expanded once more and included eastern Bonnie Doon within its borders. At the time, Bonnie Doon seemed somewhat distant from the development concentrated around 82 Avenue and 103 Street, but the extension of a streetcar line made development of the area more attractive. Early residents of Bonnie Doon took advantage of the river valley views by constructing their residences in the northwest corner of the neighbourhood next to the Mill Creek Ravine and overlooking the North Saskatchewan River. During the inter-war years, Edmonton grew rather slowly, and by 1950 less than half of the present structures in Bonnie Doon had been constructed. After World War II and the discovery of oil at Leduc, Edmonton again underwent tremendous growth. Neighbourhoods like Bonnie Doon began to fill out. Bonnie Doon's development is still underway as structures are added each decade; much of this construction is in fact redevelopment as original structures are replaced by ones with a higher density of a different use. The neighbourhood is the site of one of Edmonton's first suburban shopping centres - Bonnie Doon Shopping Centre. Bonnie Doon has several interesting demographic features. The neighbourhood has large proportions of retired residents, individuals over 60 years of age and one and two adult households.",Métis,Southeast
BOYLE STREET,1020,Boyle Street,"The hub of Edmonton's early commercial district, Boyle Street was recorded on a map of the newly created town of Edmonton in 1892. As the Hudson Bay Company held the land directly north of Fort Edmonton, the town spread eastward - even the streets conform to the exterior boundaries of several river lots. Today, Boyle Street borders on the eastern edge of Edmonton's central business district and features a high proportion of males, single adult households and mobile individuals.",O-day'min,Central
BRANDER GARDENS,5080,Brander Gardens,"Brander Gardens is named for George Brander, whose peony gardens were an attraction for Albertans until the 1940s and were the source of most of the peonies in Alberta. Most of Brander Gardens was built during the 1970s, featuring curved roads, cul de sacs and biking trails. Residents, most of whom live in row houses and low-rise apartments, enjoy acess to river valley park trails and to Fort Edmonton Park.",pihêsiwin,Whitemud
BRECKENRIDGE GREENS,4700,Breckenridge Greens,"Breckenridge Greens is a residential neighbourhood in west Edmonton. Development of the neighbourhood is comparatively recent, with most residential construction occurring during the 1990s.  The most common type of residence, is the single family dwelling. The neighbourhood is bounded on the south by Whitemud Drive, on the west by Winterburn Road, on the north by Suder Green Drive, and on the east by Lewis Estates Boulevard.",Nakota Isga,West Henday
BRINTNELL,2110,Brintnell,"The neighbourhood was named in honour of Wilfred Leigh Brintnell a pilot, who was well known for his pioneering trips across uncharted areas.  Brintnell today (2010) is surrounded by residential neighbourhoods to the south and west, and Gorman Industrial is located to the east across Manning Drive.  94% of housing units are single-family residences.  Brintnell's circulation design features arterial roadways along the exterior of the neighbourhood, with a loops and cul-de-sacs design on the interior.  A powerline right-of-way provides a green corridor and pedestrian pathway for residents.",Dene,Northeast
BRITANNIA YOUNGSTOWN,4060,Britannia Youngstown,"Britannia Youngstown became part of Edmonton in 1964 when the Town of Jasper Place was annexed by a growing Edmonton. Most homes in the area were built in the 1950s. While the interior of the neighbourhood is relatively stable, commercial development  has changed the face of  156 Street and Stony Plain Road. Mayfield Common Shopping Centre is a dominant feature of the area.",Nakota Isga,Jasper Place
BROOKSIDE,5090,Brookside,"Adjacent to the Whitemud Creek Ravine, Brookside offers a natural woodland habitat, skiing and other recreational facilities and access to river valley park trails. Most of the homes are ""executive"" style, built on above-average size lots and featuring mature landscaping. The population is very stable: 68% of residents have lived at the same address for more than five years. Forty four percent of households include children, with a high proportion of young people aged 10 to 19.",pihêsiwin,Whitemud
BROWN INDUSTRIAL,3050,Brown Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
BULYEA HEIGHTS,5100,Bulyea Heights,"Bulyea Heights was named after George Hedley Vicars Bulyea (1859-1928), the first Lieutenant-Governor of Alberta.  The majority of the residences within the Bulyea Heights neighbourhood were constructed in the 1970s, and consist primarily of single-detached homes and some medium density units.  The presence of the Whitemud Creek Ravine, running the eastern length of Bulyea Heights, is the most striking feature of the neighbourhood. A small commercial centre is located along Bulyea Road, but the vast majority of the neighbourhood has been developed residentially.",pihêsiwin,Whitemud
CAERNARVON,3060,Caernarvon,"One of the Castle Downs subdivisions, Caernarvon is named for a castle in Wales. A
community league and elementary schools, as well as attractive parkland, lie at the heart of the
area, which is served by a network of pleasant pedestrian pathways. The vast majority of area
residents are under 50 years of age and over half the households have children at home.",Anirniq,Northwest
CALDER,3070,Calder,"In the early part of the 20th century, Calder was part of
the Hudson's Bay Company Reserve and settled primarily by employees of the Grand Trunk
Pacific Railway. Ninety percent of the buildings in this former railroad colony are one- or two-unit
homes. While most homes were built in the 1940s and 50s, some date back to
before 1910.",Anirniq,Northwest
CALGARY TRAIL NORTH,5110,Calgary Trail North,This non-residential neighbourhood is limited to Calgary Trail road infrastructure.  Neighbourhood census data is not currently available.,papastew,Scona
CALGARY TRAIL SOUTH,5120,Calgary Trail South,This non-residential neighbourhood is limited to Calgary Trail road infrastructure.  Neighbourhood census data is not currently available.,Karhiio,Whitemud
CALLAGHAN,5457,Callaghan,,Ipiihkoohkanipiaohtsi,Southwest
CALLINGWOOD NORTH,4070,Callingwood North,"The majority of dwellings in Callingwood North are row housing and low-rise apartment
buildings, and a high proportion of residents are young couples and singles. The area's
most attractive feature is West Jasper Place Park, which is linked to the Arrowhead and Kikino
Trails. The nearby Whitemud Freeway provides quick access to Edmonton's commercial districts.",sipiwiyiniwak,West Edmonton
CALLINGWOOD SOUTH,4080,Callingwood South,"Callingwood South is home to a high proportion of young singles and couples, attracted by such
features as West Edmonton Village, one of the City's largest multi-unit complexes, and the
excellent recreational facilities provided by the West Jasper Place Park and Recreation Centre. 
Residents are well served by the Marketplace at Callingwood's more than 70 businesses, as well as
an efficient road network which provide good access to the City's southwest.",sipiwiyiniwak,West Edmonton
CAMERON HEIGHTS,4466,Cameron Heights,"Cameron Heights was named after John Cameron, a pioneer and businessman who lived at the north end of the road that now bears his name (Cameron Avenue).  Cameron Heights is one of Edmonton's finest river valley communities that began development in the early 2000.  Graced by two ravines and embraced by the river's edge, this unique community is on nature's doorstep and offers beautiful parks, walking and cycling paths, and tree-lined streets.",sipiwiyiniwak,West Edmonton
CANON RIDGE,2120,Canon Ridge,"Canon Ridge lies within the Hermitage area, and is named for an Anglican minister who arrived in
Edmonton in 1875. The area had two cattle farms until as late as 1960, when it was annexed by
the City. Most housing was built in the 1980s on attractive curving streets and cul-de-sacs. The
area contains appealing recreational spaces, as well as excellent access to river valley parks. Canon Ridge is extremely popular with young families.",Dene,Northeast
CANORA,4090,Canora,"The Canora school was opened in 1949, and the neighbourhood became known by the school's name.",Nakota Isga,Jasper Place
CANOSSA,3080,Canossa,"Canossa is names after The Canossa Castle that was built around 940 AD near Bologna in Northern Italy.  Though it was restored numerous times over the centuries, the castle lies in ruins today.  Canossa is a predominantly single-detached residential neighbourhood oriented around a loops and cul-de-sac roadway design.  Prior to urban development the area was used for agricultural purposes. The neighbourhood began developing in the early 1990s, but the bulk of residential construction took place over the 2000-2006 time period.",Anirniq,Northwest
CAPILANO,6061,Capilano,"Bounded by the green spaces of the river valley and Gold Bar Ravine, Capilano features
beautifully landscaped 1950s-era homes, tree-lined streets and two attractive parks named for
prominent early Edmontonians. Capilano is a stable community of mostly older residents; more
than 70 percent of households do not have children.",Métis,Southeast
CARLETON SQUARE INDUSTRIAL,4100,Carleton Square Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
CARLISLE,3090,Carlisle,"Part of Castle Downs, Carlisle was first developed in the 1970s. The majority of homes in the
area were designed for single families. The area is home to a high proportion of young families
drawn by the neighbourhood's beautiful parkland and recreation areas in the heart of the
community.",Anirniq,Northwest
CARLTON,3470,Carlton,"Carlton is named after Fort Carlton There are several natural areas within the neighbourhood, including a woodlot containing indigenous species located in the northwestern portion of the neighbourhood. A focal point for Carlton is the south centrally located storm water management facility which provides some amenity and open space for residents. Prior to residential development the area was used primarily for agricultural cultivation, and the southern portion of the neighbourhood was used for industrial purposes in the late 1970's.  The bulk of construction started in the early 2000s.",Anirniq,Northwest
CARTER CREST,5130,Carter Crest,"Carter Crest is named after Robert I. Carter (1858-1931) who was a Canadian government agent who advised Americans on their immigration prospects to Canada. He purchased a farm in what is now Terwillegar Park, naming it Riverside Farm.  Carter Crest was designed to integrate seamlessly with surrounding residential areas, and to provide an attractive community for its residents.  Robert Carter Park, located in the northeast portion of the neighbourhood, provides residents with open space, and a system of pathways provides for efficient pedestrian and bicycle access throughout the neighbourhood.",pihêsiwin,Whitemud
CASHMAN,5466,Cashman,,Ipiihkoohkanipiaohtsi,Southwest
CASSELMAN,2130,Casselman,"Named for Frederick. C. Casselman, who practised law in Edmonton in the early part of the 20th
century, this northeast neighbourhood consists of a blend of single-family homes and multi-unit
dwellings, as well as substantial recreation spaces and appealing pedestrian pathways throughout
the neighbourhood. Although there are no schools in Casselman, two elementary and two junior
high schools are conveniently located in nearby McLeod.",Dene,Northeast
CAVANAGH,5467,Cavanagh,,Ipiihkoohkanipiaohtsi,Southwest
CENTRAL MCDOUGALL,1030,Central McDougall,"Close to the City's downtown core, this area's long history has seen it transformed from a
primarily residential community to a mixed-use area characterised by low-rise apartments, commercial buildings, schools and the Royal Alexandra hospitals. Many of the area's
residents are young singles and couples.",O-day'min,Central
CHAMBERY,3120,Chambery,"Chambery has been planned to incorporate a series of residential sub-units within the neighbourhood, as defined by the collector road system.  Once complete, the neighbourhood will feature a central school site and two smaller pocket parks, which will privde keystones within the integrated system of open spaces for Chambery.  Chambery takes its name from a famous castle in France.",tastawiyiniwak,Northwest
CHAPPELLE,5462,Chappelle,,Ipiihkoohkanipiaohtsi,Southwest
CHARLESWORTH,6661,Charlesworth,,Karhiio,Ellerslie
CLAREVIEW TOWN CENTRE,2145,Clareview Town Centre,,Dene,Northeast
CLOVER BAR AREA,2160,Clover Bar Area,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Dene,Northeast
CLOVERDALE,6070,Cloverdale,"Cloverdale is situated along the south bank of the North Saskatchewan River near the centre of the city. Settlement of Cloverdale began in the 1870s when two farms were established. Most of today's Cloverdale was annexed in 1907 by 1915 the neighbourhood was fully established with a school, stores, local industries and churches. Recreational open space has become the major land use in the neighbourhood, and beautiful Gallagher Park provides the stage for the annual Edmonton Folk Festival.",Métis,Southeast
CORONET ADDITION INDUSTRIAL,6090,Coronet Addition Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
CORONET INDUSTRIAL,6100,Coronet Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,papastew,Southeast
CPR IRVINE,6110,CPR Irvine,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,papastew,Scona
CRAWFORD PLAINS,6140,Crawford Plains,"Crawford Plains is one of the City's newer communities, dating to the late 1970s. Like many Mill
Woods neighbourhoods, it features attractive curving streets and cul-de-sacs. A school and
recreational site lies at the heart of the neighbourhood, a particularly appealing feature for the
60 percent of households which have young children (over 90 percent of residents are under
40). Retail, health and other services are available in nearby Mill Woods Town Centre.",Sspomitapi,Mill Woods and Meadows
CRESTWOOD,3140,Crestwood,"Crestwood's unique street pattern provides excellent views of the river valley from the north, east,
and south sides of the area. Five churches, two schools, shopping centres, a curling club and
other community facilities make Crestwood a particularly desirable neighbourhood. A stable
community, over 65 percent of residents have lived here for more than five years.",Nakota Isga,Jasper Place
CROMDALE,1070,Cromdale,"One of Edmonton's older inner-city neighbourhoods, Cromdale lies just to the northeast of the
City centre. Once a low-density residential area, Cromdale was redeveloped in the 1960s to
include more apartment buildings. The area has a mobile and youthful population. Kinnaird
Ravine, which winds its way through the neighbourhood, offers excellent recreational
opportunities for area residents.",Métis,118 Avenue
CRYSTALLINA NERA EAST,2462,Crystallina Nera East,,tastawiyiniwak,Northeast
CRYSTALLINA NERA WEST,2463,Crystallina Nera West,,tastawiyiniwak,Northeast
CUMBERLAND,3150,Cumberland,"5.66 hectare park is located in Cumberland and pedestrian connections are provided through a series of pathways located along linear parks that run through the neighbourhood.  There is also a natural tree stand preserved within Cumberland.  These features provide residents with access to open space and recreational opportunities.  Cumberland's name refers to an early trading post owned by the Hudson's Bay Company, Cumberland House.",Anirniq,Northwest
CY BECKER,2611,Cy Becker,,Dene,Northeast
DALY GROVE,6150,Daly Grove,"Named in honour of Thomas Daly, who developed high quality strains of wheat and oats, Daly
Grove's predominantly single family homes were built in the 1980s. An efficient road system
provides quick access to other City districts while preserving a quiet and safe core community for
the young families which make up the majority of households. Daly Grove is well served by Mill
Woods Town Centre, as well as its own smaller business centre.",Sspomitapi,Mill Woods and Meadows
DAVIES INDUSTRIAL EAST,6160,Davies Industrial East,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
DAVIES INDUSTRIAL WEST,6170,Davies Industrial West,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
DECHENE,4110,Dechene,"Annexed to the City in 1972 as part of West Jasper Place, most of Dechene's appealing keyhole
crescents and curving, quiet streets date from the 1980s. Area households, of which over 50
percent are families with children at home, are a short drive from the wide variety of commercial
and entertainment services of West Edmonton Mall. The area is named after Joseph M. Dechene,
the father of Judge Andre M. Dechene.",sipiwiyiniwak,West Edmonton
DECOTEAU,6663,Decoteau,,Sspomitapi,Ellerslie
DELTON,1080,Delton,"Delton has been part of Edmonton since 1910, a time when land speculators fuelled a tremendous expansion in the supply of vacant subdivisions. Most of Delton was subdivided with the grid pattern of streets common before World War I. While Delton is bounded on the west and north by major roadways, its interior is relatively placid. Delton is named after businessman (owner of the Alberta Hotel) and former alderman Edmund Del Grierson.",Métis,118 Avenue
DELWOOD,2230,Delwood,"Delwood is a mature, stable suburban neighbourhood featuring 90% single detached homes. The design of the neighbourhood is typical for the 1960s, following a modified grid pattern and several small island parks.  The schools are centrally located, and commercial land uses are situated at the corners of the neighbourhood. Residents are older then average and very few move in or out of Delwood.",tastawiyiniwak,Northeast
DESROCHERS AREA,5463,Desrochers Area,,Ipiihkoohkanipiaohtsi,Southwest
DOMINION INDUSTRIAL,3160,Dominion Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
